with high debt and very low amm liquidity:,,,,,,,,,,,,,,
timestamp,cumulative_bad_debt,liquidatable_count,liquidatable_pct,median_hf,mean_hf,min_hf,liquidations_this_step,seized_usd_this_step,debt_closed_this_step,bad_debt_this_step,price_WETH,price_WBTC,price_SOL,price_USDC
2022-11-09 07:59:00,0,9479,94.79,0.0577707676164077,0.35491048899636,7.36684631037019E-05,0,0,0,0,1274.35,18240.72,19.29,1
2022-11-09 07:59:00,0.0,9479,94.78999999999999,0.05777076761640773,0.3549104889963597,7.36684631037019e-05,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,0.0,9479,94.78999999999999,0.05777076761640773,0.3549104889963597,7.36684631037019e-05,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,0.0,9479,94.78999999999999,0.05777076761640773,0.3549104889963597,7.36684631037019e-05,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
0,0.0,0.0
2022-11-09 07:59:00,0.0,9479,94.78999999999999,0.05777076761640773,0.3549104889963597,7.36684631037019e-05,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
0,0.0,0.0
2022-11-09 07:59:00,0.0,9479,94.78999999999999,0.05777076761640773,0.3549104889963597,7.36684631037019e-05,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
[np.int64(15)],[np.float64(1100491.961973236)],[np.float64(876403.3136194975)]
2022-11-09 07:59:00,0.0,9479,94.78999999999999,0.05777076761640773,0.3549104889963597,7.36684631037019e-05,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
15.0,1100491.961973236,876403.3136194975
2022-11-09 07:59:00,0.0,9479,94.78999999999999,0.05777076761640773,0.3549104889963597,7.36684631037019e-05,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
15.0,1100491.961973236,876403.3136194975
2022-11-09 07:59:00,933668016355.3536,9480,94.8,1.699532838541181e-06,0.23468598480567462,1.6036357008382436e-11,100,21858.183284663035,843059930.7567396,843059930.4298935,1274.35,18240.72,19.29,1.0
144000.0,2345251786.8510823,933675519180.3798
2022-11-09 07:59:00,38597796281.48379,4616,46.160000000000004,1.1476568398253062,3.04467458580348,7.746915489289573e-18,100,129750.1983217163,26781736.74336201,26781709.713629276,1274.35,18240.72,19.29,1.0
144000.0,593085373.0803225,38605213469.815216
2022-11-09 07:59:00,56098339489.71812,2145,21.45,2.822102983336548,7.052653813440544,7.68030729147465e-33,100,465793.56787558115,39397662.55829702,39397563.344416276,1274.35,18240.72,19.29,1.0
144000.0,575002199.0726545,56105680560.70653
2022-11-09 07:59:00,56098339489.71812,2145,21.45,2.822102983336548,7.052653813440544,7.68030729147465e-33,100,465793.56787558115,39397662.55829702,39397563.344416276,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,0.0,2143,21.43,2.822102983336548,7.168212929886564,0.025878622832353072,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,803832716.9793323,0,0.0,4.082798644206783,9.016069665548992,1.0041901453653037,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,3930253.228153106,0,0.0,3.394611513764827,12.346968088992492,1.04805089351632,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,3930253.228153106,0,0.0,3.394611513764827,12.346968088992492,1.04805089351632,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,0.0,0,0.0,10.691491568454516,31.059805997734156,1.2058033374900767,0,0,0,0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,3273192.3209013273,0,0.0,2.766087679188975,10.395913259939196,1.0096606196649371,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8351625.50266252,0,0.0,1.7304767081852006,7.853405098679503,1.0048841419628811,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8351625.50266252,0,0.0,1.7304767081852006,7.853405098679503,1.0048841419628811,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8351625.50266252,0,0.0,1.7304767081852006,7.853405098679503,1.0048841419628811,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8351625.50266252,0,0.0,1.7304767081852006,7.853405098679503,1.0048841419628811,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8351625.502662518,0,0.0,1.7304767081852006,7.853405098679503,1.0048841419628811,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8351625.502662515,0,0.0,1.7304767081852006,7.853405098679503,1.0048841419628811,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8339689.7778396085,26,26.0,1.676412960834727,7.6819164434571885,0.2895447293710591,1,0.006791388776976575,0.005430697866479149,0.0027167251528630227,1274.35,18240.72,19.29,1.0
2022-11-09 07:59:00,8351625.50572742,0,0.0,2.766087679188975,10.395913259939196,1.0096606196649371,0,0.0,0.0,0.0,1274.35,18240.72,19.29,1.0
